Symbol,TotalTrades,StartingEquity,FinalEquity,TotalProfit,PctGain,MaxEquity,MinEquity,MaxDrawdownPct
DRI,141,100000.0,121055.31703769435,21055.317037694345,21.055317037694348,121055.31703769435,99879.0671015749,-17.493035790840615
DTE,97,100000.0,114032.94807107198,14032.94807107198,14.03294807107198,114242.33147214563,99951.1773882532,-12.509508428035602
DUK,92,100000.0,112329.43963966561,12329.439639665608,12.329439639665608,112329.43963966561,99960.42284552158,-11.011375854648438
DUST,381,100000.0,326222.8926705262,226222.89267052623,226.22289267052622,328798.2450548989,100129.4445244902,-69.54684338179123
DVA,138,100000.0,136832.29765554913,36832.29765554913,36.832297655549134,138052.5989577789,99862.83778966134,-27.663196098030184
DVN,138,100000.0,126861.40250565668,26861.402505656675,26.861402505656674,128647.98053476475,100420.61117300652,-21.94155652068732
DXCM,292,100000.0,180500.89350391662,80500.89350391662,80.50089350391663,181919.36520421825,100158.24779183576,-44.94360307414191
EA,107,100000.0,107345.29266758186,7345.29266758186,7.34529266758186,107347.77313390955,97979.67288818334,-8.726869661320404
EBAY,206,100000.0,164117.70380218475,64117.703802184755,64.11770380218475,164606.62007084792,100853.77564102563,-38.73042554569348
ECL,97,100000.0,112473.99359807087,12473.993598070869,12.47399359807087,112473.99359807087,99821.44797404364,-11.249307701513185
ED,124,100000.0,107716.53000033488,7716.530000334882,7.716530000334883,107767.69045950576,99386.52378001917,-7.777068102462355
EDIT,117,100000.0,163322.497054542,63322.49705454201,63.322497054542005,163322.497054542,101310.80137366873,-37.96886332209598
EEM,130,100000.0,120412.81150788325,20412.81150788325,20.412811507883248,120724.87004387888,100037.31880108992,-17.136113905336845
EFA,199,100000.0,108509.86036757192,8509.86036757192,8.509860367571921,108675.69076113235,100101.75240248728,-7.8894721520477535
EFX,104,100000.0,120957.76968740462,20957.769687404623,20.957769687404625,120957.76968740462,99729.73748518346,-17.549953390411797
EG,46,100000.0,111563.47169183983,11563.471691839834,11.563471691839835,111800.64170584106,98947.69062271807,-11.49631244241014
EIX,92,100000.0,121789.87643964472,21789.876439644722,21.789876439644722,121866.59839102549,100144.2609966042,-17.82468509108807
EL,156,100000.0,147920.08795097028,47920.08795097028,47.92008795097028,147920.08795097028,99992.00974738105,-32.40133160242274
ELV,164,100000.0,148015.70058526332,48015.700585263316,48.01570058526332,148536.1156907652,101998.1458609777,-31.331080399782437
EMB,135,100000.0,103227.17166342855,3227.171663428555,3.2271716634285545,103483.89026033475,99989.93961309492,-3.3763232503630203
EME,61,100000.0,101503.37303179609,1503.3730317960872,1.5033730317960872,107193.3551770359,98616.07940479156,-8.0016860728713
EMR,120,100000.0,117845.27465102021,17845.274651020212,17.845274651020212,118409.6011976138,99687.68428479077,-15.811147680142945
ENB,180,100000.0,116349.19614109203,16349.196141092034,16.349196141092033,116406.02742975722,100003.56753218416,-14.090730746284407
EOG,209,100000.0,146302.4968234841,46302.49682348411,46.302496823484105,147038.0095022367,99874.00662251655,-32.07606185596705
EPAM,82,100000.0,130275.1308936407,30275.1308936407,30.2751308936407,130275.1308936407,100044.92977862414,-23.204890225515967
EQIX,57,100000.0,102703.2763388152,2703.2763388151943,2.7032763388151944,106493.91852128704,99940.89526056782,-6.1534248637957045
EQR,144,100000.0,138219.41634069473,38219.416340694734,38.219416340694735,138219.41634069473,100055.25570299686,-27.611287652689597
EQT,185,100000.0,154516.3571548535,54516.3571548535,54.5163571548535,154516.3571548535,101006.02495543673,-34.63085280077479
ERIE,13,100000.0,105814.49589611874,5814.495896118737,5.8144958961187365,105814.49589611874,98530.7458771814,-6.8835086887225865
ESS,58,100000.0,117614.18241368854,17614.18241368854,17.61418241368854,118929.96274952828,100295.00071063104,-15.668853843117137
ETN,119,100000.0,127888.04507466969,27888.045074669688,27.888045074669687,127888.04507466969,100223.59694544695,-21.6317702824141
ETR,77,100000.0,111986.62943337507,11986.62943337507,11.98662943337507,111986.62943337507,100015.67791373131,-10.689625699258778
EVRG,98,100000.0,108325.314959569,8325.314959569005,8.325314959569004,108586.79220239984,99665.32933494964,-8.215974232686682
