Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
63,Fixed_ATR_Asymmetric,Short,14,3.0,3.0,60081,29505,30295,0.49108703250611674,10463504.05361751,10975773.391219797,-512269.3376022873,0.9533272673056384,354.6349450471957,362.29653049083333,0.9788527220140423,-488360.3277408581
64,Fixed_ATR_Asymmetric,Short,50,4.0,4.0,60013,29359,30278,0.48921067102127874,10551367.137084141,11065534.65449602,-514167.51741187944,0.9535343267663106,359.3912305284288,365.4645172896499,0.9833820070789316,-490276.37756044173
65,Fixed_ATR_Asymmetric,Short,30,3.5,6.0,60033,26199,33429,0.4364099745140173,11222650.100590384,11748622.254735213,-525972.1541448301,0.9552311630469829,428.36177337266247,351.4500061244791,1.2188412744569486,-502424.992534093
66,Fixed_ATR_Asymmetric,Short,20,3.0,5.0,60058,25756,33940,0.4288521096273602,10878338.221906878,11417884.381169794,-539546.1592629163,0.9527455226160174,422.3613224843484,336.41380027017664,1.255481559154668,-514050.18748241215
67,Fixed_ATR_Asymmetric,Short,30,3.5,5.0,60033,26917,32718,0.4483700631319441,11007367.92114373,11557541.430656709,-550173.5095129798,0.9523970116989043,408.93739722642675,353.24718597275836,1.1576522431461438,-523983.60637606063
68,Fixed_ATR_Asymmetric,Short,30,3.5,4.0,60033,28304,31368,0.47147402262089183,10652152.87630107,11209812.453490417,-557659.5771893458,0.9502525506556796,376.3479676477201,357.364589820531,1.0531204779878234,-529917.4356217437
69,Fixed_ATR_Asymmetric,Short,50,4.0,5.0,60013,27789,31817,0.463049672570943,10936502.616437012,11515585.800168343,-579083.1837313296,0.9497130937339839,393.5550979321678,361.9318540455839,1.0873734752360347,-549962.8819508061
70,Fixed_ATR_Asymmetric,Short,14,3.0,6.0,60081,25474,34228,0.4239942743962318,11318641.020804748,11906124.254270416,-587483.2334656678,0.9506570550651735,444.32130881701926,347.84750070908075,1.2773451236857485,-558495.0806266376
71,Fixed_ATR_Asymmetric,Short,50,4.0,6.0,60013,26918,32669,0.4485361505007248,11169581.282050293,11761675.75606474,-592094.4740144447,0.949659003844827,414.9484093190539,360.0255825420043,1.1525525669294396,-562287.8483745845
72,Fixed_ATR_Asymmetric,Short,20,3.5,4.0,60058,28419,31268,0.47319258050551133,11049091.293163111,11662240.261019185,-613148.9678560751,0.9474244266853674,388.79240272926955,372.9768536848914,1.0424035671064453,-580912.3093437668
73,Fixed_ATR_Asymmetric,Short,20,3.5,6.0,60058,26480,33163,0.44090712311432284,11525839.169840738,12139519.268858489,-613680.09901775,0.9494477429108725,435.265829676765,366.05612486380875,1.189068561108507,-582657.1848817235
74,Fixed_ATR_Asymmetric,Short,14,3.0,4.0,60081,27160,32577,0.4520563905394384,10920306.861937635,11539000.7210074,-618693.8590697634,0.9463823710537258,402.0731539741397,354.2069779601375,1.135136174588263,-585520.9613028225
75,Fixed_ATR_Asymmetric,Short,14,3.0,5.0,60081,26014,33695,0.43298214077661823,11160940.380717479,11788846.253129411,-627905.8724119302,0.946737292273597,429.0359183792373,349.8693056278205,1.2262748159898074,-594461.9054499615
76,Fixed_ATR_Asymmetric,Short,30,4.0,6.0,60033,27195,32400,0.453000849532757,11570704.509198397,12233920.186534127,-663215.67733573,0.9457887850154744,425.4717598528552,377.59012921401626,1.1268084807685739,-627261.949670575
77,Fixed_ATR_Asymmetric,Short,20,3.5,5.0,60058,27092,32559,0.45109727263645144,11317297.331544658,11990488.245595511,-673190.9140508528,0.9438562550363087,417.73576448932005,368.26954899092453,1.134320677976051,-635395.4550605074
78,Fixed_ATR_Asymmetric,Short,30,4.0,4.0,60033,29322,30321,0.4884313627504872,10966156.535221826,11644118.599517014,-677962.0642951885,0.9417764377354153,373.9907419419489,384.02818507031475,0.9738627436251117,-638488.6978316712
79,Fixed_ATR_Asymmetric,Short,30,4.0,5.0,60033,27927,31677,0.4651941432212283,11339168.896614652,12025822.591811843,-686653.6951971923,0.942901727515528,406.0288930645845,379.638936509513,1.0695133033447697,-647446.9554063535
80,Fixed_ATR_Asymmetric,Short,50,4.5,5.0,60013,28620,30968,0.4768966723876493,11204218.428578887,11914687.274696887,-710468.8461180001,0.9403703320332364,391.482125387103,384.7419037295559,1.0175188135012323,-668103.8247232541
